1280	4.333097	2.320365
1312	4.128498	2.461368
1344	4.618237	2.847743
1376	8.572883	2.918616
1408	5.717315	3.135008
1440	5.994354	3.317833
1472	7.142939	3.599098
1504	8.093120	3.824487
1536	14.971989	4.159273
1280	4.418822	2.341898
1312	4.130295	2.512738
1344	4.638434	2.746030
1376	7.841819	2.938873
1408	5.880628	3.214814
1440	6.331235	3.313693
1472	7.027295	3.656581
1504	8.254737	3.796386
1536	14.662682	4.075612
1280	4.346020	2.329493
1312	3.930635	2.482985
1344	4.581305	2.750967
1376	8.059151	2.906605
1408	5.980381	3.154254
1440	6.076025	3.300638
1472	6.987168	3.664940
1504	7.960782	4.054664
1536	15.726382	4.179444
1280	4.325008	2.314800
1312	4.038059	2.548447
1344	4.673550	2.796155
1376	7.891374	3.027722
1408	5.997552	3.292837
1440	5.810595	3.281595
1472	7.058270	3.716726
1504	8.304565	3.895909
1536	14.726887	4.036020
1280	4.322724	2.430649
1312	4.327651	2.708637
1344	4.873581	2.801367
1376	8.308417	2.952747
1408	6.129596	3.204163
1440	5.792450	3.406469
1472	6.946663	3.629747
1504	7.947986	3.860725
1536	15.200008	4.129910
1280	4.530459	2.345679
1312	4.032351	2.571127
1344	4.834813	2.700755
1376	7.923694	3.011892
1408	5.624175	3.056989
1440	6.254097	3.309923
1472	6.716112	3.502608
1504	7.976412	3.740055
1536	14.682214	4.005701
1280	4.209601	2.286889
1312	3.952148	2.583647
1344	4.752297	2.701144
1376	7.630195	2.849970
1408	5.593165	3.120391
1440	6.251686	3.543733
1472	7.334977	3.534275
1504	8.114527	3.886962
1536	14.664322	4.017750
1280	4.319545	2.297006
1312	3.890994	2.452004
1344	4.440749	2.683986
1376	7.927079	2.846378
1408	5.937508	3.063101
1440	5.876796	3.275447
1472	7.285555	3.609834
1504	8.293323	3.811121
1536	14.658435	4.109460
1280	4.396304	2.342129
1312	4.009967	2.520556
1344	4.539677	2.732656
1376	8.481138	2.923765
1408	5.950457	3.131850
1440	6.323114	3.360410
1472	6.955776	3.529776
1504	8.070239	3.839011
1536	15.087047	4.087562
1280	4.549367	2.351130
1312	4.023032	2.493054
1344	4.524421	2.689757
1376	7.630145	2.898099
1408	5.831632	3.148717
1440	6.182164	3.376754
1472	7.198819	3.562760
1504	8.124824	3.807953
1536	14.591438	4.146831
