Program	SD	HD	FHD	UHD-4k	UHD-8k
Program		.000570	.001302	.000310		
edgeDetector		1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
edgeDetector_optLoops		1.058687	1.069995	1.182232	1.182864	1.527311	1.132196
edgeDetector_par0		1.150943	1.144502	1.231403	1.250939	1.662406	1.232879
edgeDetector_par1		2.106121	2.694709	5.270186	5.082723	6.907923	.269383
edgeDetector_par2		1.520725	2.374130	3.866187	5.602735	7.125947	2.560863
