Program	SD	HD	FHD	UHD-4k	UHD-8k
edgeDetector	0.073654	0.165699	0.376437	1.74681	1.95163	0.008546
edgeDetector_optLoops	0.070874	0.159956	0.354979	1.4378	1.53094	0.008226
edgeDetector_par0	0.070891	0.157645	0.355476	1.44159	1.5297	0.008252
edgeDetector_par1	0.023658	0.030628	0.093232	0.278473	0.295298	0.00187
