700000    0.00229248	0.00277271	0.00257781	0.00307024      
750000    0.00190248	0.00262919	0.00172333	0.00258195      
800000    0.0019801	0.0029319	0.00104429	0.00171914      
850000    0.00215771	0.00296795	0.00176071	0.00134024      
900000    0.00225371	0.00333914	0.00369248	0.0018089      
950000    0.00228695	0.00348619	0.00178381	0.00216519      
1000000    0.00238948	0.00356019	0.00143738	0.0017961      
1050000    0.00238319	0.0036269	0.00173448	0.00145852      
1100000    0.00293633	0.00359257	0.00179833	0.00160471      
1150000    0.0027859	0.00389529	0.00142219	0.00193219      
1200000    0.00269567	0.00412762	0.00167967	0.00216938      
1250000    0.00291448	0.00429833	0.00154486	0.00292405      
1300000    0.00309395	0.00469819	0.00162448	0.00276605      
1350000    0.00322552	0.00519971	0.00338705	0.00315576      
1400000    0.003554	0.00536033	0.00673548	0.00549686      
1450000    0.0039769	0.00592614	0.00429295	0.00197833      
1500000    0.00355776	0.00525752	0.00289024	0.00268962      
