1000000	0.002306   0.003410   0.001031 0.001331
1000000	0.002553   0.003684   0.007350 0.001270
1000000	0.002558   0.003675   0.010733 0.001294
1000000	0.002592   0.003742   0.000800 0.001287
1000000	0.002197   0.003718   0.000791 0.001316
1000000	0.002463   0.003661   0.000905 0.001587
1000000	0.002420   0.003782   0.001063 0.001221
1000000	0.002223   0.003624   0.002735 0.001308
1000000	0.002554   0.003728   0.000823 0.001181
1000000	0.002498   0.003562   0.000854 0.001201
1000000	0.002578   0.003679   0.001063 0.001198
1000000	0.002428   0.003514   0.001171 0.001244
1000000	0.002358   0.003515   0.002778 0.001222
1000000	0.002246   0.003578   0.002837 0.001241
1000000	0.002458   0.003324   0.002308 0.001270
1000000	0.002188   0.003616   0.001466 0.001396
1000000	0.002440   0.003520   0.001110 0.001244
1000000	0.002374   0.003563   0.001848 0.001471
1000000	0.002424   0.003556   0.000855 0.001182
1000000	0.002186   0.003575   0.000910 0.001244
1000000	0.002283   0.003529   0.001762 0.001446
1100000.0	0.002885   0.003704   0.000709 0.001282
1100000.0	0.002437   0.003826   0.002935 0.001217
1100000.0	0.002514   0.003754   0.001003 0.001351
1100000.0	0.002530   0.003689   0.000854 0.001527
1100000.0	0.002486   0.003811   0.001199 0.001155
1100000.0	0.002498   0.003693   0.000970 0.001150
1100000.0	0.002497   0.003664   0.010639 0.001381
1100000.0	0.002684   0.003784   0.002263 0.001172
1100000.0	0.002583   0.003710   0.001757 0.001678
1100000.0	0.002482   0.003754   0.003271 0.001020
1100000.0	0.002485   0.003712   0.003264 0.001283
1100000.0	0.002637   0.003740   0.003152 0.003237
1100000.0	0.002631   0.003706   0.000738 0.000987
1100000.0	0.002477   0.003859   0.002831 0.001309
1100000.0	0.002402   0.003725   0.001656 0.000970
1100000.0	0.002516   0.003744   0.000885 0.001432
1100000.0	0.002649   0.003866   0.002764 0.001296
1100000.0	0.002547   0.003776   0.002276 0.001379
1100000.0	0.002403   0.003701   0.002516 0.001085
1100000.0	0.002599   0.003814   0.002052 0.001147
1100000.0	0.002635   0.003715   0.002509 0.005234
1210000.0	0.002849   0.004072   0.000979 0.001318
1210000.0	0.002868   0.004082   0.002926 0.001352
1210000.0	0.002800   0.004047   0.001005 0.001331
1210000.0	0.002741   0.004048   0.001095 0.001598
1210000.0	0.002749   0.004113   0.001923 0.001403
1210000.0	0.002738   0.004062   0.001950 0.001247
1210000.0	0.002823   0.004083   0.000916 0.001320
1210000.0	0.002679   0.004181   0.001770 0.005558
1210000.0	0.002754   0.004138   0.002335 0.001451
1210000.0	0.002828   0.004182   0.001259 0.001582
1210000.0	0.002952   0.004230   0.003435 0.001412
1210000.0	0.002859   0.004090   0.001221 0.001374
1210000.0	0.002738   0.004248   0.001282 0.001328
1210000.0	0.002759   0.004180   0.000915 0.001464
1210000.0	0.002794   0.004103   0.001201 0.001418
1210000.0	0.002737   0.004068   0.001063 0.001240
1210000.0	0.002746   0.004050   0.000917 0.001260
1210000.0	0.002723   0.004155   0.002108 0.001515
1210000.0	0.002841   0.004043   0.001420 0.001549
1210000.0	0.002897   0.004056   0.001743 0.002961
1210000.0	0.002735   0.004078   0.001643 0.001488
1331000.0	0.003090   0.004443   0.001801 0.001516
1331000.0	0.002909   0.004567   0.001009 0.001539
1331000.0	0.003031   0.004482   0.001161 0.001508
1331000.0	0.003007   0.004481   0.001707 0.001541
1331000.0	0.003181   0.004633   0.001185 0.001521
