1024	0.010134	0.001783
2048	0.155159	0.006841
3072	0.569955	0.015231
4096	0.832857	0.026398
5120	1.566459	0.040284
6144	2.364831	0.061899
7168	3.481881	0.078304
8192	4.580708	0.102022
9216	5.919731	0.129324
10240	7.430674	0.162167
11264	9.309875	0.191732
12288	11.525546	0.226832
13312	14.042071	0.266606
14336	16.873242	0.309557
15360	20.257308	0.351416
16384	28.295427	0.397206
1024	0.016406	0.001817
2048	0.128899	0.006871
3072	0.475672	0.014788
4096	0.989517	0.025643
5120	1.613231	0.040042
6144	2.459001	0.057737
7168	3.404830	0.078131
8192	4.677209	0.102495
9216	5.962102	0.129932
10240	7.583217	0.161200
11264	9.367108	0.191668
12288	11.620937	0.227819
13312	14.029370	0.265020
14336	16.970339	0.306302
15360	20.036116	0.353378
16384	28.157084	0.399008
1024	0.007862	0.001742
2048	0.099545	0.006527
3072	0.486317	0.014553
4096	0.989371	0.025871
5120	1.625902	0.040008
6144	2.468330	0.057899
7168	3.449645	0.078760
8192	4.615478	0.102288
9216	5.936886	0.129329
10240	7.607698	0.160622
11264	9.282269	0.193915
12288	11.642973	0.228772
13312	14.060732	0.265212
14336	16.900204	0.306324
15360	20.198253	0.351169
16384	28.414910	0.397479
1024	0.010261	0.001739
2048	0.125843	0.006637
3072	0.474644	0.014680
4096	0.986896	0.025878
5120	1.625311	0.040013
6144	2.435669	0.059421
7168	3.433557	0.077840
8192	4.684938	0.101615
9216	6.046555	0.129490
10240	7.475353	0.163935
11264	9.134416	0.192782
12288	11.394924	0.227858
13312	13.856826	0.265582
14336	16.820244	0.307686
15360	20.174847	0.349702
16384	28.385725	0.397447
1024	0.007880	0.001842
2048	0.124552	0.006697
3072	0.476540	0.014824
4096	0.982944	0.025745
5120	1.630747	0.043226
6144	2.416272	0.061128
7168	3.432917	0.077936
8192	4.660090	0.102661
9216	6.067219	0.129499
10240	7.459880	0.162225
11264	9.316718	0.192409
12288	11.453936	0.226523
13312	13.949261	0.267355
14336	17.138174	0.306149
15360	20.140399	0.350365
16384	28.387652	0.395895
1024	0.008001	0.001819
2048	0.134553	0.006567
3072	0.466891	0.014781
4096	0.965933	0.025977
5120	1.569473	0.040925
6144	2.434069	0.056716
7168	3.443304	0.077757
8192	4.636644	0.101915
9216	5.950061	0.129557
10240	7.528852	0.163056
11264	9.401943	0.192472
12288	11.504583	0.228369
13312	13.801823	0.264057
14336	16.740751	0.307445
15360	20.088582	0.348604
16384	28.271188	0.401882
1024	0.007762	0.001783
2048	0.138249	0.006830
3072	0.489720	0.014609
4096	0.989977	0.026119
5120	1.634568	0.042000
6144	2.461946	0.057722
7168	3.417881	0.078015
8192	4.616771	0.103062
9216	5.963163	0.129600
10240	7.515748	0.163214
11264	9.205716	0.192971
12288	11.772052	0.231298
13312	14.265679	0.265533
14336	16.707539	0.306875
15360	20.236369	0.356707
16384	28.362346	0.395490
1024	0.007730	0.001904
2048	0.128572	0.006674
3072	0.491990	0.014777
4096	0.995065	0.025674
5120	1.632653	0.039893
6144	2.425032	0.057482
7168	3.443898	0.077928
8192	4.657034	0.102181
9216	5.919651	0.129901
10240	7.508906	0.161562
11264	9.221862	0.192676
12288	11.515115	0.226924
13312	13.886664	0.266615
14336	16.841961	0.306481
15360	20.059582	0.351601
16384	28.231711	0.394550
1024	0.007858	0.001815
2048	0.124926	0.006501
3072	0.466547	0.014675
4096	0.945774	0.025947
5120	1.609804	0.040927
6144	2.386772	0.056536
7168	3.417401	0.077783
8192	4.609315	0.103496
9216	6.045308	0.129490
10240	7.524237	0.162542
11264	9.131621	0.215383
12288	11.581267	0.228726
13312	14.015071	0.264808
14336	16.797735	0.305660
15360	19.993370	0.352198
16384	28.562479	0.398107
1024	0.007891	0.001723
2048	0.129008	0.006694
3072	0.481879	0.015133
4096	0.991618	0.025762
5120	1.585228	0.039925
6144	2.401036	0.056263
7168	3.368615	0.077691
8192	4.621607	0.102438
9216	5.956559	0.130241
10240	7.489409	0.162071
11264	9.109884	0.192543
12288	11.439076	0.228347
13312	13.920558	0.269966
14336	16.837200	0.305530
15360	20.121147	0.351013
16384	28.453179	0.414427
