Program	SD	HD	FHD	UHD-4k	UHD-8k
edgeDetector	0.0738735	0.165684	0.377193	1.69474	2.07822	6.55255
edgeDetector_optLoops	0.071263	0.158495	0.357322	1.44289	1.54408	5.75743
edgeDetector_par0	0.071249	0.158316	0.356824	1.445	1.54592	5.75675
edgeDetector_par1	0.0170499	0.0306189	0.0687681	0.275809	0.296975	1.09817
edgeDetector_par2	0	0	0	0	0	4.5
