edgeDetector	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	
edgeDetector_optLoops	1.036631	1.045357	1.055610	1.174545	1.345927	1.138103	
edgeDetector_par0	1.036835	1.046539	1.057084	1.172830	1.344325	1.138237	
edgeDetector_par1	4.332782	5.411167	5.484999	6.144614	6.997962	5.966790	
edgeDetector_par2						1.456122	
