edgeDetector	0.073685	0.166161	0.375988	1.716675	2.223481	6.508738	
edgeDetector_optLoops	0.071032	0.158510	0.357192	1.443063	1.546969	5.756860	
edgeDetector_par0	0.071127	0.158588	0.357316	1.448962	1.554001	5.739979	
edgeDetector_par1	0.023746	0.030737	0.069256	0.277915	0.320920	1.107371	
edgeDetector_par2		
edgeDetector	0.075223	0.166427	0.379061	1.736792	2.166770	6.641809	
edgeDetector_optLoops	0.071246	0.158485	0.358070	1.445533	1.545870	5.747076	
edgeDetector_par0	0.071024	0.158029	0.356895	1.437337	1.542855	5.748043	
edgeDetector_par1	0.014137	0.030722	0.069265	0.280575	0.295046	1.108198	
edgeDetector_par2		
edgeDetector	0.074404	0.165619	0.380289	1.704603	2.224570	6.573842	
edgeDetector_optLoops	0.071519	0.158317	0.359239	1.446708	1.548076	5.759823	
edgeDetector_par0	0.071435	0.158441	0.356717	1.445392	1.542516	5.764606	
edgeDetector_par1	0.014199	0.030961	0.069344	0.276553	0.293660	1.091953	
edgeDetector_par2		
edgeDetector	0.073548	0.165513	0.379391	1.684259	2.055741	6.578405	
edgeDetector_optLoops	0.071882	0.158574	0.356679	1.441708	1.542318	5.755513	
edgeDetector_par0	0.071110	0.158431	0.357092	1.448551	1.542628	5.755173	
edgeDetector_par1	0.014036	0.030402	0.068181	0.277125	0.291540	1.086843	
edgeDetector_par2		
edgeDetector	0.073438	0.165316	0.378108	1.716583	2.141012	6.528343	
edgeDetector_optLoops	0.071018	0.158188	0.356750	1.438555	1.541245	5.762069	
edgeDetector_par0	0.071196	0.158330	0.356595	1.444201	1.547763	5.758712	
edgeDetector_par1	0.023328	0.030076	0.067699	0.271969	0.300973	1.085769	
edgeDetector_par2		
edgeDetector	0.073745	0.165258	0.377475	1.645796	2.079496	6.535080	
edgeDetector_optLoops	0.071122	0.158377	0.358281	1.443881	1.554023	5.753985	
edgeDetector_par0	0.071098	0.158201	0.356987	1.442626	1.543144	5.763653	
edgeDetector_par1	0.013958	0.030688	0.067943	0.272889	0.290317	1.086133	
edgeDetector_par2		
edgeDetector	0.073636	0.165444	0.374534	1.716447	2.083269	6.527329	
edgeDetector_optLoops	0.071255	0.157696	0.356344	1.438699	1.540958	5.756367	
edgeDetector_par0	0.071552	0.158544	0.356770	1.449315	1.556834	5.756147	
edgeDetector_par1	0.014172	0.030789	0.070048	0.272076	0.289845	1.086891	
edgeDetector_par2		
edgeDetector	0.073808	0.166030	0.378423	1.711124	1.934114	6.558426	
edgeDetector_optLoops	0.071208	0.158484	0.357163	1.440992	1.542505	5.762752	
edgeDetector_par0	0.071043	0.158357	0.356973	1.441488	1.542571	5.758661	
edgeDetector_par1	0.013979	0.030335	0.067761	0.272821	0.290354	1.085549	
edgeDetector_par2		
edgeDetector	0.073552	0.165846	0.374454	1.705516	1.942595	6.534986	
edgeDetector_optLoops	0.071139	0.158708	0.357178	1.447817	1.542277	5.755070	
edgeDetector_par0	0.071302	0.158320	0.356969	1.445270	1.539103	5.758293	
edgeDetector_par1	0.015008	0.030773	0.069269	0.278830	0.296963	1.111242	
edgeDetector_par2		
edgeDetector	0.073696	0.165228	0.374208	1.609556	1.931119	6.538578	
edgeDetector_optLoops	0.071209	0.159610	0.356324	1.441935	1.536525	5.764745	
edgeDetector_par0	0.071603	0.157915	0.355930	1.446890	1.547750	5.764189	
edgeDetector_par1	0.023936	0.030706	0.068915	0.277337	0.300132	1.131709	
edgeDetector_par2		
